num,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,-18.45084,-0.23145,-3.80672,0.0104,0.00089,0.08463,0.010479,0.122211
0.0,-18.31343,-0.49099,-3.66931,-0.01011,0.01066,0.0651,0.160399,-0.152104
0.0,-16.84779,1.11206,-3.37924,0.00454,0.01212,0.08073,0.148839,0.055511
0.0,-15.61115,0.48611,-2.87542,0.00698,0.01408,0.00602,0.991144,0.427613
0.0,-19.67221,-0.26198,-3.91359,-0.00572,0.02531,0.05485,0.430248,-0.094375
0.0,-20.17603,1.1426,-3.89832,-0.00718,0.01652,0.04508,0.347183,-0.148493
0.0,-18.64931,-0.53679,-3.44031,-0.00718,0.03458,0.16276,0.20918,-0.04314
0.0,-19.2142,1.87542,-3.45557,-0.01548,0.04582,-0.15365,0.288411,-0.096272
0.0,-18.06916,-0.5826,-3.80672,-0.0189,0.03947,0.06901,0.504076,-0.233425
0.0,-18.25237,-0.09405,-3.53191,-0.01402,0.00236,0.09635,0.024217,-0.144436
0.0,-17.59588,1.02046,-3.05863,0.02797,0.00822,-0.20589,0.039529,0.134932
0.0,-22.45084,-0.91847,-3.53191,-0.03892,0.03751,0.111,0.308732,-0.32071
0.0,-20.3745,2.59298,-4.21893,0.0143,0.01408,-0.31625,0.044439,0.045148
0.0,-20.61878,1.31053,-4.40214,-0.04332,0.06876,-0.02181,0.956548,-0.540734
0.0,-16.72565,-1.13221,-3.22656,0.01137,-0.05282,0.11881,-0.416614,0.087239
0.0,-19.36687,-2.73527,-3.50137,-0.04722,0.0258,0.1237,0.192418,-0.357644
0.0,-16.67985,0.2571,-2.96702,-0.02427,0.07414,0.03581,1.042606,-0.286698
0.0,-13.87069,0.50137,-2.55481,0.01674,0.00187,-0.15169,0.012253,0.109921
0.0,-14.95466,0.1655,-2.89069,0.02797,-0.02352,-0.02962,-0.523538,0.636771
0.0,-18.25237,-1.13221,-3.10443,0.00502,0.0507,0.14127,0.344348,0.033462
0.0,-12.77145,-2.90321,-3.3029,-0.05894,0.06144,0.19596,0.291682,-0.279487
0.0,-14.60351,0.63878,-2.75328,-0.01109,0.00871,-0.11117,0.077771,-0.099119
0.0,-12.03863,0.1655,-2.49374,0.02358,0.0214,-0.25277,0.084103,0.092685
0.0,-7.55008,-0.78107,-1.48611,-0.00425,-0.00399,0.05485,-0.072388,-0.077181
0.0,-4.75618,-0.88794,-0.29527,-0.04771,0.07414,0.27995,0.255358,-0.16328
0.0,-1.79435,1.78382,0.08641,0.00551,-0.02401,-0.27376,-0.087457,0.020057
0.0,-0.29817,-0.00244,-0.15786,-0.00523,0.03019,0.02165,0.935283,-0.139854
0.0,-2.2829,-1.01008,-0.76855,0.01479,0.03556,0.1359,0.254492,0.104897
0.0,-0.63405,-0.32305,-0.57008,-0.00328,-0.03329,0.07536,-0.415595,-0.03975
0.0,0.58733,0.36397,0.28489,-0.00718,0.00773,-0.1307,0.058982,-0.054805
0.0,-2.43557,-0.59786,-0.64641,0.01967,0.03458,0.05827,0.512294,0.282572
0.0,1.45756,-0.04824,0.11695,0.00991,0.02433,0.02604,0.717867,0.271148
0.0,0.05298,-0.24672,-0.15786,-0.015,0.01115,-0.035,0.284835,-0.387622
0.0,-0.54244,-2.42992,-0.44794,0.03481,0.01164,0.27555,0.04187,0.125551
0.0,-0.51191,2.24183,-0.34107,0.00844,-0.01375,-0.33578,-0.040929,0.025117
0.0,1.56443,-0.75053,0.11695,0.01186,0.01603,0.03629,0.397484,0.290472
0.0,1.90031,-0.13985,0.17802,0.00454,0.03019,-0.08724,0.332741,0.049097
0.0,2.20565,-1.34595,0.49863,-0.01939,-0.01668,0.14079,-0.116867,-0.135924
0.0,1.70183,-0.55206,0.30015,0.00893,0.01115,-0.01156,0.651903,0.507566
0.0,0.67893,1.15786,0.01008,0.04018,-0.02792,-0.03353,-0.490017,0.744272
0.0,0.06824,0.83725,0.01008,0.0309,-0.01864,-0.11849,-0.151041,0.252156
