num,time,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,193490199.0,0.09171705219230201,-0.09826203688728075,0.012758356832078549,-0.02,-0.078,0.243,-0.3096176337991474,-0.07820648561788103
0.0,193587734.0,0.06639232474586429,-0.03324852225049198,0.008499753457212385,0.016,0.045,-0.088,0.466136738055208,0.16048842514475237
0.0,193685218.0,0.07705628647554966,-0.048956485518440944,0.014364059743913332,0.074,0.0,-0.05,0.0,0.9765826229944627
0.0,193782744.0,0.07386233394440003,0.012583823906879116,0.007696902001294993,0.023,0.006,-0.192,0.031018213564092963,0.11916592230610099
0.0,193880217.0,0.029094638630745476,-0.03937462792499207,0.0053058009260627615,0.007,0.039,0.283,0.13690524727099443,0.024498497765747414
0.0,193977731.0,-0.014346606451393388,0.014713125594312197,-0.0005585053606381855,0.003,0.005,-0.306,0.016337630310393522,0.009802299086034255
0.0,194075238.0,-0.1097288500728835,0.10850711959648746,-0.0216071761396898,0.024,-0.017,-0.554,-0.030647567285834773,0.0432738855779801
0.0,194172753.0,-0.002617993877991494,0.013124875974997358,-0.0021642082724729686,-0.007,-0.014,0.146,-0.09548909593385756,-0.0476900991472746
0.0,194270237.0,-0.09667378726796591,-0.006056292504420323,-0.009896016858807848,-0.004,-0.083,-0.147,-0.5138444538027684,-0.023690353590889796
0.0,194367757.0,-0.04312708581677988,0.034173546754048975,-0.010157816246606997,0.019,0.039,-0.096,0.37922965971292255,0.1813486471859349
0.0,194465258.0,-0.03752457891787808,0.005131268000863329,-0.009616764178488757,0.039,0.097,-0.008,1.181327957544805,0.3811108689653242
0.0,194562765.0,0.03789109806079689,-0.024190263432641405,0.003159045946109736,-0.003,-0.151,0.007,-1.5204034433000384,-0.019843631032526902
0.0,194660254.0,0.029897490086662867,0.017924531417981764,0.007435102613495843,0.043,0.075,-0.223,0.3189635223633999,0.1807702415253912
0.0,194757772.0,0.027227136331111543,0.036564647829281205,-0.0010995574287564276,0.015,0.04,-0.269,0.1473915578637757,0.05509980423882757
0.0,194855258.0,0.06932447788921477,-0.020193459445574394,0.012217304763960306,0.026,0.017,-0.081,0.19723605153467447,0.30438143770750614
0.0,194952771.0,0.024556782575560217,-0.02045525883337354,-0.0042935099599060505,0.022,0.026,-0.199,0.12913938827194635,0.1091851331721306
0.0,195050270.0,0.0056374134839416844,0.012060225131280817,0.0010297442586766543,-0.03,-0.109,-0.266,-0.3866917487816722,-0.10398357402986953
0.0,195147778.0,0.017366026057343577,-0.03804817769347639,0.003961897402027128,0.038,-0.047,0.111,-0.3810225616896498,0.30538539831713074
